idx_in_subset,AP,query_image
524,0.97059,0219_c016_00028985_0.jpg
525,0.629423,0219_c017_00027085_0.jpg
526,0.903867,0219_c019_00027280_0.jpg
527,1.0,0231_c001_00038120_0.jpg
528,1.0,0231_c002_00038560_0.jpg
529,1.0,0231_c012_00036295_0.jpg
530,1.0,0231_c014_00035040_0.jpg
531,1.0,0231_c015_00034995_0.jpg
532,1.0,0231_c016_00034845_1.jpg
533,1.0,0231_c017_00035840_0.jpg
534,1.0,0231_c019_00035670_0.jpg
535,1.0,0237_c014_00065515_0.jpg
536,1.0,0237_c015_00065485_0.jpg
537,1.0,0237_c016_00065285_0.jpg
538,1.0,0240_c001_00045355_0.jpg
539,1.0,0240_c002_00044140_0.jpg
540,1.0,0240_c012_00046160_0.jpg
541,1.0,0240_c013_00046075_0.jpg
542,1.0,0240_c014_00047435_0.jpg
543,1.0,0240_c015_00047245_0.jpg
544,1.0,0240_c016_00047710_0.jpg
545,1.0,0240_c017_00046615_0.jpg
546,1.0,0240_c019_00046800_0.jpg
547,1.0,0241_c001_00033480_0.jpg
548,0.871004,0241_c002_00029810_0.jpg
549,0.998775,0241_c012_00034150_0.jpg
550,1.0,0241_c013_00034020_0.jpg
551,1.0,0241_c014_00035810_0.jpg
552,1.0,0241_c015_00035640_0.jpg
553,1.0,0241_c016_00036400_0.jpg
554,1.0,0241_c017_00034715_0.jpg
555,0.999141,0241_c019_00034985_0.jpg
556,1.0,0247_c001_00086435_0.jpg
557,1.0,0247_c002_00089940_0.jpg
558,1.0,0247_c012_00084215_0.jpg
559,1.0,0247_c013_00084275_0.jpg
560,1.0,0247_c014_00082340_0.jpg
561,1.0,0247_c015_00082380_0.jpg
562,1.0,0247_c016_00082105_0.jpg
563,1.0,0247_c017_00083635_0.jpg
564,1.0,0247_c019_00083350_0.jpg
565,0.592679,0249_c001_00019250_0.jpg
566,0.428173,0249_c002_00018350_1.jpg
567,0.627167,0249_c012_00019845_1.jpg
568,0.627154,0249_c013_00019735_0.jpg
569,0.511946,0249_c014_00021390_0.jpg
570,0.746249,0249_c015_00021280_0.jpg
571,0.71134,0249_c016_00021630_0.jpg
572,0.577859,0249_c017_00020505_0.jpg
573,0.467938,0249_c019_00020775_0.jpg
574,0.938664,0262_c001_00014355_0.jpg
575,0.948799,0262_c012_00019940_0.jpg
576,0.983705,0262_c013_00013515_0.jpg
577,0.949996,0262_c014_00021880_0.jpg
578,0.932846,0262_c015_00021765_0.jpg
579,0.98739,0262_c016_00022125_0.jpg
580,0.981566,0262_c017_00020795_1.jpg
581,0.924031,0262_c019_00021130_0.jpg
582,1.0,0273_c001_00040670_0.jpg
583,0.992669,0273_c002_00039190_1.jpg
584,1.0,0273_c003_00036590_0.jpg
585,0.97735,0273_c004_00036465_0.jpg
586,1.0,0273_c006_00037765_0.jpg
587,1.0,0273_c008_00036280_0.jpg
588,1.0,0273_c009_00036350_0.jpg
589,1.0,0273_c010_00037625_0.jpg
590,1.0,0273_c011_00037785_1.jpg
591,0.999888,0273_c012_00041175_0.jpg
592,0.999463,0273_c013_00041050_0.jpg
593,0.988631,0273_c014_00000540_1.jpg
594,0.997619,0273_c015_00044265_0.jpg
595,0.995547,0273_c016_00045345_0.jpg
596,0.999888,0273_c017_00042500_0.jpg
597,0.967732,0273_c019_00042810_0.jpg
598,1.0,0281_c001_00033830_0.jpg
599,1.0,0281_c002_00031880_0.jpg
600,1.0,0281_c003_00030185_0.jpg
601,1.0,0281_c004_00030085_0.jpg
602,1.0,0281_c006_00031000_0.jpg
603,1.0,0281_c008_00029935_0.jpg
604,1.0,0281_c009_00030010_0.jpg
605,1.0,0281_c010_00030780_0.jpg
606,1.0,0281_c011_00030970_0.jpg
607,1.0,0281_c012_00034420_0.jpg
608,1.0,0281_c013_00034275_0.jpg
